id,url,wikidata
Cristian Battocchio,https://en.wikipedia.org/wiki/Cristian_Battocchio,http://www.wikidata.org/entity/Q10785
Nathaniel Chalobah,https://en.wikipedia.org/wiki/Nathaniel_Chalobah,http://www.wikidata.org/entity/Q10788
Steph Houghton,https://en.wikipedia.org/wiki/Steph_Houghton,http://www.wikidata.org/entity/Q10871
Rachel Unitt,https://en.wikipedia.org/wiki/Rachel_Unitt,http://www.wikidata.org/entity/Q10869
Laura Bassett,https://en.wikipedia.org/wiki/Laura_Bassett,http://www.wikidata.org/entity/Q10875
Dunia Susi,https://en.wikipedia.org/wiki/Dunia_Susi,http://www.wikidata.org/entity/Q10878
Sophie Bradley-Auckland,https://en.wikipedia.org/wiki/Sophie_Bradley-Auckland,http://www.wikidata.org/entity/Q10879
Rachel Yankey,https://en.wikipedia.org/wiki/Rachel_Yankey,http://www.wikidata.org/entity/Q10883
Claire Rafferty,https://en.wikipedia.org/wiki/Claire_Rafferty,http://www.wikidata.org/entity/Q10881
Fara Williams,https://en.wikipedia.org/wiki/Fara_Williams,http://www.wikidata.org/entity/Q10885
Karen Carney,https://en.wikipedia.org/wiki/Karen_Carney,http://www.wikidata.org/entity/Q10889
Jill Scott,https://en.wikipedia.org/wiki/Jill_Scott_(footballer),http://www.wikidata.org/entity/Q10896
Anita Asante,https://en.wikipedia.org/wiki/Anita_Asante,http://www.wikidata.org/entity/Q10902
Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,http://www.wikidata.org/entity/Q11571
Adrien Rabiot,https://en.wikipedia.org/wiki/Adrien_Rabiot,http://www.wikidata.org/entity/Q18962
Ole Gunnar Solskjær,https://en.wikipedia.org/wiki/Ole_Gunnar_Solskj%C3%A6r,http://www.wikidata.org/entity/Q18976
Tom Ince,https://en.wikipedia.org/wiki/Tom_Ince,http://www.wikidata.org/entity/Q18982
Daniel González Güiza,https://en.wikipedia.org/wiki/Dani_G%C3%BCiza,http://www.wikidata.org/entity/Q19041
Mame Biram Diouf,https://en.wikipedia.org/wiki/Mame_Biram_Diouf,http://www.wikidata.org/entity/Q19051
Adam Miller,"https://en.wikipedia.org/wiki/Adam_Miller_(footballer,_born_1982)",http://www.wikidata.org/entity/Q19177
Alan Julian,https://en.wikipedia.org/wiki/Alan_Julian,http://www.wikidata.org/entity/Q19181
Juan Bernat,https://en.wikipedia.org/wiki/Juan_Bernat,http://www.wikidata.org/entity/Q19367
Vicente Guaita,https://en.wikipedia.org/wiki/Vicente_Guaita,http://www.wikidata.org/entity/Q19365
Francesco Totti,https://en.wikipedia.org/wiki/Francesco_Totti,http://www.wikidata.org/entity/Q20110
Alan Dzagoev,https://en.wikipedia.org/wiki/Alan_Dzagoev,http://www.wikidata.org/entity/Q20469
Sylvain Marchal,https://en.wikipedia.org/wiki/Sylvain_Marchal,http://www.wikidata.org/entity/Q27770
Eduardo Ribeiro dos Santos,"https://en.wikipedia.org/wiki/Eduardo_dos_Santos_(footballer,_born_1980)",http://www.wikidata.org/entity/Q27772
Yannick Cahuzac,https://en.wikipedia.org/wiki/Yannick_Cahuzac,http://www.wikidata.org/entity/Q27789
Macedo Novaes,https://en.wikipedia.org/wiki/Magno_Novaes,http://www.wikidata.org/entity/Q27795
Fousséni Diawara,https://en.wikipedia.org/wiki/Fousseni_Diawara,http://www.wikidata.org/entity/Q27800
Arnaud Maire,https://en.wikipedia.org/wiki/Arnaud_Maire,http://www.wikidata.org/entity/Q27805
Jérémy Choplin,https://en.wikipedia.org/wiki/J%C3%A9r%C3%A9my_Choplin,http://www.wikidata.org/entity/Q27808
Julian Palmieri,https://en.wikipedia.org/wiki/Julian_Palmieri,http://www.wikidata.org/entity/Q27819
Salim Moizini,https://en.wikipedia.org/wiki/Salim_Moizini,http://www.wikidata.org/entity/Q27845
David Alaba,https://en.wikipedia.org/wiki/David_Alaba,http://www.wikidata.org/entity/Q31981
Juan Martín Parodi,https://en.wikipedia.org/wiki/Juan_Mart%C3%ADn_Parodi,http://www.wikidata.org/entity/Q32315
Héctor Castro,https://en.wikipedia.org/wiki/H%C3%A9ctor_Castro,http://www.wikidata.org/entity/Q32411
Samuel Wilson,https://en.wikipedia.org/wiki/Samuel_Wilson_(footballer),http://www.wikidata.org/entity/Q32490
Laureano Ruiz,https://en.wikipedia.org/wiki/Laureano_Ruiz,http://www.wikidata.org/entity/Q32539
Antonio Candreva,https://en.wikipedia.org/wiki/Antonio_Candreva,http://www.wikidata.org/entity/Q32556
Mick Bates,https://en.wikipedia.org/wiki/Mick_Bates_(English_footballer),http://www.wikidata.org/entity/Q32630
