:ID,pr0:double,name,:LABEL
68364,5.224067680199649E-4,Barack Hussein Obama II,Noun
68365,5.119586326595654E-4,Illinois Senate,Noun
68366,0.001699681950638221,administration,Noun
68367,0.009254004789580316,Democratic Party,Noun
68368,0.00863710388219379,George W. Bush,Noun
68369,4.701660912179683E-4,presidency.,Noun
68370,0.0013594286791765323,mother,Noun
68371,4.492698204971697E-4,graduate student,Noun
68372,0.00247287337697159,politician,Noun
68373,4.2837354977637103E-4,Hillary Clinton,Noun
68374,4.179254144159718E-4,Punahou School,Noun
68375,0.0019735888767796884,presidency,Noun
68376,0.0027765655975449453,parents,Noun
68377,5.256152871480043E-4,stepfather,Noun
68378,5.160382975908885E-4,Joe Biden,Noun
68379,0.0017666451476944516,Bill Clinton,Noun
68380,3.5523660225357604E-4,Hate Crimes Prevention Act,Noun
68381,3.4478846689317674E-4,Harvard Law School,Noun
68382,4.461451495409643E-4,student,Noun
68383,3.238921961723782E-4,Lolo Soetoro,Noun
68384,5.816452352321675E-4,law,Noun
68385,0.009499538025020461,White House,Noun
68386,2.9254779009118024E-4,African-American,Noun
68387,3.1332327044295786E-4,rights,Noun
68388,0.0059834082382209984,president,Noun
68389,2.777102516709177E-4,Chicago,Noun
68390,2.1941084256838525E-4,military,Noun
68391,0.0059252962169817945,John McCain,Noun
68392,1.9851457184758662E-4,Pentagon,Noun
68393,1.8806643648718732E-4,University of Washington in Seattle,Noun
68394,1.7761830112678802E-4,University of Hawaiʻi at Mānoa,Noun
68395,1.671701657663887E-4,Harvard University,Noun
68396,1.8304550709506617E-4,Hawaii,Noun
68397,0.0032188465685676726,American,Noun
68398,1.6222330628617993E-4,government.,Noun
68399,0.001314667611823291,election,Noun
68400,2.076365081522038E-4,Illinois,Noun
68401,1.0448135360399295E-4,Ann Dunham,Noun
68402,0.008212043800365828,U.S. Congress,Noun
68403,0.0020070745391475597,father,Noun
68404,6.55098933744165E-5,graduate school,Noun
68405,1.3634784175608797E-4,schools,Noun
68406,5.431144647272438E-5,girls,Noun
68407,1.1406616980435211E-4,first,Noun
68408,5.515541829788477E-4,office,Noun
68409,3.514257151673258E-4,Hillary Diane Rodham Clinton,Noun
68410,3.44253761796564E-4,Loretta Lynch,Noun
68411,9.211445952174625E-4,U.S. Senate,Noun
68412,3.299098550550405E-4,Hillary's Scheme: Inside the Next Clinton,Noun
68413,0.005920298582608412,senator,Noun
68414,8.138582253109881E-4,time,Noun
68415,3.7474056146679974E-4,husband,Noun
68416,8.737757585944332E-4,member,Noun
68417,3.4044635287961344E-4,woman,Noun
68418,0.006616108026590926,campaign,Noun
68419,2.58190321347423E-4,Maine South High School,Noun
68420,0.0011292497856399736,New York,Noun
68421,3.0153791098859234E-4,scandal,Noun
68422,5.249408779401035E-4,daughter,Noun
68423,2.2950250786437601E-4,statement,Noun
68424,2.223305544936143E-4,Home Instruction Program for Preschool Youth,Noun
68425,2.079866477520908E-4,Dorothy Howell,Noun
68426,3.754306777760155E-4,members,Noun
68427,4.068437610467123E-4,program,Noun
68428,1.864707876398055E-4,first lady,Noun
68429,1.7929883426904373E-4,traditionalist,Noun
68430,1.72126880898282E-4,Foster Care Independence Act,Noun
68431,1.6495492752752026E-4,email controversy,Noun
68432,1.577829741567585E-4,Wellesley College,Noun
68433,9.480672577333172E-4,Richard Nixon,Noun
68434,2.0599440156647685E-4,nominee,Noun
68435,1.3626711404447328E-4,anti-communist,Noun
68436,1.290951606737115E-4,effort,Noun
68437,1.2192320730294975E-4,office.,Noun
68438,4.314404445623242E-4,Arkansas,Noun
68439,1.2570529509929075E-4,women,Noun
68440,1.004073471906645E-4,standing ovation,Noun
68441,9.323539381990275E-5,firm,Noun
68442,8.6063440449141E-5,State Department,Noun
68443,7.17195337076175E-5,commitment,Noun
68444,6.454758033685575E-5,subject,Noun
68445,5.020367359533225E-5,Adoption and Safe Families Act,Noun
68446,4.30317202245705E-5,girl,Noun
68447,2.8687813483047002E-5,James Comey,Noun
68448,2.151586011228525E-5,Yale--New Haven Hospital,Noun
68449,4.362069482575615E-4,"Washington, D.C.",Noun
68450,4.3101277586527175E-5,The Night James Brown,Noun
68451,4.223925203479663E-5,Famous Flames,Noun
68452,7.572054306954687E-5,group,Noun
68453,3.9653175379605005E-5,R&B,Noun
68454,3.879114982787446E-5,Maceo Parker,Noun
68455,3.7929124276143916E-5,autobiography,Noun
68456,2.9555793786889236E-4,career,Noun
68457,3.6205073172682834E-5,albums,Noun
68458,3.534304762095228E-5,Bootsy Collins,Noun
68459,3.448102206922174E-5,detention center,Noun
68460,3.4923674161959993E-4,South Carolina,Noun
68461,3.275697096576065E-5,Terrell,Noun
68462,3.189494541403011E-5,North Augusta,Noun
68463,3.103291986229957E-5,I Got You (I Feel Good),Noun
68464,3.0170894310569024E-5,Ben Bart,Noun
68465,7.581965413812874E-5,release,Noun
68466,1.2067667162497511E-4,death,Noun
68467,2.672279210364685E-5,Live at the Apollo,Noun
68468,2.5860766551916306E-5,Bobby Bennett,Noun
68469,2.4136715448455217E-5,Think!,Noun
68470,2.3274689896724673E-5,Howlin' Wolf,Noun
68471,2.241266434499413E-5,Papa's Got a Brand New Bag,Noun
68472,2.1550638793263588E-5,Alfred ``Pee Wee'' Ellis,Noun
68473,7.620323631585947E-5,band,Noun
68474,0.006060806943556962,family,Noun
68475,1.6378485482880325E-5,Louis Jordan,Noun
68476,1.5516459931149784E-5,performer,Noun
68477,1.4654434379419237E-5,R&B group,Noun
68478,1.3792408827688696E-5,musician,Noun
68479,1.2068357724227609E-5,Music Box,Noun
68480,1.0344306620766522E-5,Rock and Roll Hall of Fame,Noun
68481,9.482281069035979E-6,It's a Man's Man's Man's World,Noun
68482,8.620255517305435E-6,chart,Noun
68483,7.758229965574892E-6,Jacque Hollander,Noun
68484,3.78734573030364E-5,singles,Noun
68485,6.034178862113804E-6,canal bridge,Noun
68486,5.172153310383261E-6,demo session,Noun
68487,4.310127758652717E-6,Troy Collins,Noun
68488,3.448102206922174E-6,ballad,Noun
68489,1.724051103461087E-6,interlocking rhythms,Noun
68490,8.620255517305435E-7,James Brown Band,Noun
68491,2.3334751988601733E-4,Hiroshi Masuoka,Noun
68492,0.0010276246902551688,Japanese,Noun
68493,2.2401361909057667E-4,2009 Dakar Rally,Noun
68494,2.193466686928563E-4,achievement,Noun
68495,4.697512543521311E-4,article,Noun
68496,4.413177222136668E-4,Wikipedia,Noun
68497,2.1217174793877912E-4,driver,Noun
68498,3.633189790650982E-4,event,Noun
68499,1.9134496630653422E-4,successes,Noun
68500,1.866780159088139E-4,Mitsubishi,Noun
68501,1.8201106551109353E-4,Chiaki,Noun
68502,4.1243571964991096E-4,history,Noun
68503,1.7267716471565283E-4,rally,Noun
68504,1.6334326392021217E-4,Dakar Rally,Noun
68505,0.008515020958783835,withdrawal,Noun
68506,1.400085119316104E-4,stages,Noun
68507,3.3118314477848405E-4,son,Noun
68508,1.3067461113616972E-4,Pajero,Noun
68509,1.2600766073844936E-4,UAE Desert Challenge.,Noun
68510,1.2134071034072903E-4,Baja Italy,Noun
68511,1.3476170689503454E-4,auto racing,Noun
68512,1.1200680954528833E-4,Shoichiro.,Noun
68513,1.29107994665117E-4,Saitama Prefecture,Noun
68514,1.0267290874984763E-4,Iruma,Noun
68515,9.800595835212728E-5,car category,Noun
68516,9.837400643714707E-5,list,Noun
68517,8.86720575566866E-5,Public Relations Department.,Noun
68518,1.955352284990481E-4,1,Noun
68519,8.829273695226095E-5,2002,Noun
68520,7.597016328783419E-5,2003,Noun
68521,7.12005153847641E-5,2004,Noun
68522,9.173354399811038E-5,2009,Noun
68523,5.600340477264417E-5,13 March 1960,Noun
68524,1.3489655358468733E-4,2,Noun
68525,4.130044265545374E-5,1960,Noun
68526,2.446470150744907E-5,13,Noun
68527,3.1003858672276994E-5,25,Noun
68528,1.6384846249212064E-5,21,Noun
