id,url,occupation,wikiid
Ferry Carondelet,https://en.wikipedia.org/wiki/Ferry_Carondelet,politician,http://www.wikidata.org/entity/Q1798
Yves Leterme,https://en.wikipedia.org/wiki/Yves_Leterme,politician,http://www.wikidata.org/entity/Q12981
Philippe Meunier,https://en.wikipedia.org/wiki/Philippe_Meunier,politician,http://www.wikidata.org/entity/Q12941
Decius,https://en.wikipedia.org/wiki/Decius,politician,http://www.wikidata.org/entity/Q1830
Seneca,https://en.wikipedia.org/wiki/Seneca_the_Younger,politician,http://www.wikidata.org/entity/Q2054
Fidel Castro,https://en.wikipedia.org/wiki/Fidel_Castro,politician,http://www.wikidata.org/entity/Q11256
Pietro Mennea,https://en.wikipedia.org/wiki/Pietro_Mennea,politician,http://www.wikidata.org/entity/Q5444
Harm Wiersma,https://en.wikipedia.org/wiki/Harm_Wiersma,politician,http://www.wikidata.org/entity/Q5335
François Mitterrand,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand,politician,http://www.wikidata.org/entity/Q2038
Mao Zedong,https://en.wikipedia.org/wiki/Mao_Zedong,politician,http://www.wikidata.org/entity/Q5816
Stephen Breyer,https://en.wikipedia.org/wiki/Stephen_Breyer,politician,http://www.wikidata.org/entity/Q11124
Severus Alexander,https://en.wikipedia.org/wiki/Severus_Alexander,politician,http://www.wikidata.org/entity/Q1769
Nelson Rockefeller,https://en.wikipedia.org/wiki/Nelson_Rockefeller,politician,http://www.wikidata.org/entity/Q11237
Anthony Kennedy,https://en.wikipedia.org/wiki/Anthony_Kennedy,politician,http://www.wikidata.org/entity/Q11171
David Cameron,https://en.wikipedia.org/wiki/David_Cameron,politician,http://www.wikidata.org/entity/Q192
Maximinus Thrax,https://en.wikipedia.org/wiki/Maximinus_Thrax,politician,http://www.wikidata.org/entity/Q1777
John Roberts,https://en.wikipedia.org/wiki/John_Roberts,politician,http://www.wikidata.org/entity/Q11153
George Washington,https://en.wikipedia.org/wiki/George_Washington,politician,http://www.wikidata.org/entity/Q23
Clarence Thomas,https://en.wikipedia.org/wiki/Clarence_Thomas,politician,http://www.wikidata.org/entity/Q11142
Sandra Day O'Connor,https://en.wikipedia.org/wiki/Sandra_Day_O%27Connor,politician,http://www.wikidata.org/entity/Q11132
Elagabalus,https://en.wikipedia.org/wiki/Elagabalus,politician,http://www.wikidata.org/entity/Q1762
Macrinus,https://en.wikipedia.org/wiki/Macrinus,politician,http://www.wikidata.org/entity/Q1752
Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,politician,http://www.wikidata.org/entity/Q91
Lamine Diack,https://en.wikipedia.org/wiki/Lamine_Diack,politician,http://www.wikidata.org/entity/Q1639
"David Cecil, 6th Marquess of Exeter","https://en.wikipedia.org/wiki/David_Cecil,_6th_Marquess_of_Exeter",politician,http://www.wikidata.org/entity/Q1628
Litokwa Tomeing,https://en.wikipedia.org/wiki/Litokwa_Tomeing,politician,http://www.wikidata.org/entity/Q12913
Maxim Gorky,https://en.wikipedia.org/wiki/Maxim_Gorky,politician,http://www.wikidata.org/entity/Q12706
Jean-Louis Touraine,https://en.wikipedia.org/wiki/Jean-Louis_Touraine,politician,http://www.wikidata.org/entity/Q12923
Robert Cecil,"https://en.wikipedia.org/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood",politician,http://www.wikidata.org/entity/Q12702
Nitobe Inazō,https://en.wikipedia.org/wiki/Nitobe_Inaz%C5%8D,politician,http://www.wikidata.org/entity/Q12696
Neville Chamberlain,https://en.wikipedia.org/wiki/Neville_Chamberlain,politician,http://www.wikidata.org/entity/Q10664
Kris Peeters,https://en.wikipedia.org/wiki/Kris_Peeters,politician,http://www.wikidata.org/entity/Q12869
Georges Fenech,https://en.wikipedia.org/wiki/Georges_Fenech,politician,http://www.wikidata.org/entity/Q12937
Pierre-Alain Muet,https://en.wikipedia.org/wiki/Pierre-Alain_Muet,politician,http://www.wikidata.org/entity/Q12922
Christophe Guilloteau,https://en.wikipedia.org/wiki/Christophe_Guilloteau,politician,http://www.wikidata.org/entity/Q12934
Alex Salmond,https://en.wikipedia.org/wiki/Alex_Salmond,politician,http://www.wikidata.org/entity/Q10652
Kim Jong-il,https://en.wikipedia.org/wiki/Kim_Jong_Il,politician,http://www.wikidata.org/entity/Q10665
John McCain,https://en.wikipedia.org/wiki/John_McCain,politician,http://www.wikidata.org/entity/Q10390
Alain Krivine,https://en.wikipedia.org/wiki/Alain_Krivine,politician,http://www.wikidata.org/entity/Q12938
Pelé,https://en.wikipedia.org/wiki/Pel%C3%A9,politician,http://www.wikidata.org/entity/Q12897
Tron Øgrim,https://en.wikipedia.org/wiki/Tron_%C3%98grim,politician,http://www.wikidata.org/entity/Q12878
Jacques Chaban-Delmas,https://en.wikipedia.org/wiki/Jacques_Chaban-Delmas,politician,http://www.wikidata.org/entity/Q12940
Jean Jaurès,https://en.wikipedia.org/wiki/Jean_Jaur%C3%A8s,politician,http://www.wikidata.org/entity/Q12688
Paul Doumer,https://en.wikipedia.org/wiki/Paul_Doumer,politician,http://www.wikidata.org/entity/Q12680
Septimius Severus,https://en.wikipedia.org/wiki/Septimius_Severus,politician,http://www.wikidata.org/entity/Q1442
Didius Julianus,https://en.wikipedia.org/wiki/Didius_Julianus,politician,http://www.wikidata.org/entity/Q1440
Imata Kabua,https://en.wikipedia.org/wiki/Imata_Kabua,politician,http://www.wikidata.org/entity/Q12917
Amata Kabua,https://en.wikipedia.org/wiki/Amata_Kabua,politician,http://www.wikidata.org/entity/Q12915
Kessai Note,https://en.wikipedia.org/wiki/Kessai_Note,politician,http://www.wikidata.org/entity/Q12914
Benigno Aquino III,https://en.wikipedia.org/wiki/Benigno_Aquino_III,politician,http://www.wikidata.org/entity/Q1464
Hélène Geoffroy,https://en.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_Geoffroy,politician,http://www.wikidata.org/entity/Q12928
Gordon Brown,https://en.wikipedia.org/wiki/Gordon_Brown,politician,http://www.wikidata.org/entity/Q10648
Michel Terrot,https://en.wikipedia.org/wiki/Michel_Terrot,politician,http://www.wikidata.org/entity/Q12939
Jurelang Zedkaia,https://en.wikipedia.org/wiki/Jurelang_Zedkaia,politician,http://www.wikidata.org/entity/Q12912
Christopher Loeak,https://en.wikipedia.org/wiki/Christopher_Loeak,politician,http://www.wikidata.org/entity/Q12911
Leanne Wood,https://en.wikipedia.org/wiki/Leanne_Wood,politician,http://www.wikidata.org/entity/Q10694
Pertinax,https://en.wikipedia.org/wiki/Pertinax,politician,http://www.wikidata.org/entity/Q1436
Dadabhai Naoroji,https://en.wikipedia.org/wiki/Dadabhai_Naoroji,politician,http://www.wikidata.org/entity/Q10240
Corazon Aquino,https://en.wikipedia.org/wiki/Corazon_Aquino,politician,http://www.wikidata.org/entity/Q1480
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,politician,http://www.wikidata.org/entity/Q9916
Emperor Gaozu of Tang,https://en.wikipedia.org/wiki/Emperor_Gaozu_of_Tang,politician,http://www.wikidata.org/entity/Q9700
Manuel Valls,https://en.wikipedia.org/wiki/Manuel_Valls,politician,http://www.wikidata.org/entity/Q10287
Pythagoras,https://en.wikipedia.org/wiki/Pythagoras,politician,http://www.wikidata.org/entity/Q10261
Olivier Besancenot,https://en.wikipedia.org/wiki/Olivier_Besancenot,politician,http://www.wikidata.org/entity/Q12932
Pascale Crozon,https://en.wikipedia.org/wiki/Pascale_Crozon,politician,http://www.wikidata.org/entity/Q12926
Marine Le Pen,https://en.wikipedia.org/wiki/Marine_Le_Pen,politician,http://www.wikidata.org/entity/Q12927
Bernard Perrut,https://en.wikipedia.org/wiki/Bernard_Perrut,politician,http://www.wikidata.org/entity/Q12931
Patrice Verchère,https://en.wikipedia.org/wiki/Patrice_Verch%C3%A8re,politician,http://www.wikidata.org/entity/Q12930
Caroline Lucas,https://en.wikipedia.org/wiki/Caroline_Lucas,politician,http://www.wikidata.org/entity/Q9670
Caracalla,https://en.wikipedia.org/wiki/Caracalla,politician,http://www.wikidata.org/entity/Q1446
John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy,politician,http://www.wikidata.org/entity/Q9696
Ferdinand Marcos,https://en.wikipedia.org/wiki/Ferdinand_Marcos,politician,http://www.wikidata.org/entity/Q1463
Philippe Cochet,https://en.wikipedia.org/wiki/Philippe_Cochet,politician,http://www.wikidata.org/entity/Q12925
Sonia Sotomayor,https://en.wikipedia.org/wiki/Sonia_Sotomayor,politician,http://www.wikidata.org/entity/Q11107
Deval Patrick,https://en.wikipedia.org/wiki/Deval_Patrick,politician,http://www.wikidata.org/entity/Q11100
Leo von Caprivi,https://en.wikipedia.org/wiki/Leo_von_Caprivi,politician,http://www.wikidata.org/entity/Q10873
Mariano Rajoy,https://en.wikipedia.org/wiki/Mariano_Rajoy,politician,http://www.wikidata.org/entity/Q10819
Lyndon B. Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,politician,http://www.wikidata.org/entity/Q9640
Robert Mugabe,https://en.wikipedia.org/wiki/Robert_Mugabe,politician,http://www.wikidata.org/entity/Q10707
Sigfrid Edström,https://en.wikipedia.org/wiki/Sigfrid_Edstr%C3%B6m,politician,http://www.wikidata.org/entity/Q1625
José Rizal,https://en.wikipedia.org/wiki/Jos%C3%A9_Rizal,politician,http://www.wikidata.org/entity/Q1500
Cicero,https://en.wikipedia.org/wiki/Cicero,politician,http://www.wikidata.org/entity/Q1541
Manuel L. Quezon,https://en.wikipedia.org/wiki/Manuel_L._Quezon,politician,http://www.wikidata.org/entity/Q1503
Bertalan Farkas,https://en.wikipedia.org/wiki/Bertalan_Farkas,politician,http://www.wikidata.org/entity/Q12865
Trevor Sargent,https://en.wikipedia.org/wiki/Trevor_Sargent,politician,http://www.wikidata.org/entity/Q12849
Cem Özdemir,https://en.wikipedia.org/wiki/Cem_%C3%96zdemir,politician,http://www.wikidata.org/entity/Q12839
Małgorzata Handzlik,https://en.wikipedia.org/wiki/Ma%C5%82gorzata_Handzlik,politician,http://www.wikidata.org/entity/Q12819
Joan Saura i Laporta,https://en.wikipedia.org/wiki/Joan_Saura,politician,http://www.wikidata.org/entity/Q12785
Joan Herrera i Torres,https://en.wikipedia.org/wiki/Joan_Herrera_i_Torres,politician,http://www.wikidata.org/entity/Q12777
Willem Drees,https://en.wikipedia.org/wiki/Willem_Drees,politician,http://www.wikidata.org/entity/Q12769
Josep Puig i Cadafalch,https://en.wikipedia.org/wiki/Josep_Puig_i_Cadafalch,politician,http://www.wikidata.org/entity/Q12750
Rahul Gandhi,https://en.wikipedia.org/wiki/Rahul_Gandhi,politician,http://www.wikidata.org/entity/Q10218
Tipu Sultan,https://en.wikipedia.org/wiki/Tipu_Sultan,politician,http://www.wikidata.org/entity/Q10088
Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan,politician,http://www.wikidata.org/entity/Q9960
Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon,politician,http://www.wikidata.org/entity/Q9588
Daniël Termont,https://en.wikipedia.org/wiki/Dani%C3%ABl_Termont,politician,http://www.wikidata.org/entity/Q12500
Patrick Janssens,https://en.wikipedia.org/wiki/Patrick_Janssens,politician,http://www.wikidata.org/entity/Q12499
James Callaghan,https://en.wikipedia.org/wiki/James_Callaghan,politician,http://www.wikidata.org/entity/Q9576
"Robert Baden-Powell, 1st Baron Baden-Powell","https://en.wikipedia.org/wiki/Robert_Baden-Powell,_1st_Baron_Baden-Powell",politician,http://www.wikidata.org/entity/Q12665
Gerald Ford,https://en.wikipedia.org/wiki/Gerald_Ford,politician,http://www.wikidata.org/entity/Q9582
David Call,https://en.wikipedia.org/wiki/David_Call,actor,http://www.wikidata.org/entity/Q39958
Édith Piaf,https://en.wikipedia.org/wiki/%C3%89dith_Piaf,actor,http://www.wikidata.org/entity/Q1631
Ran Masaki,https://en.wikipedia.org/wiki/Ran_Masaki,actor,http://www.wikidata.org/entity/Q24889
Ulla Jacobsson,https://en.wikipedia.org/wiki/Ulla_Jacobsson,actor,http://www.wikidata.org/entity/Q24842
Roshan Seth,https://en.wikipedia.org/wiki/Roshan_Seth,actor,http://www.wikidata.org/entity/Q32452
Sonali Bendre,https://en.wikipedia.org/wiki/Sonali_Bendre,actor,http://www.wikidata.org/entity/Q32342
Katarina Ivanovska,https://en.wikipedia.org/wiki/Katarina_Ivanovska,actor,http://www.wikidata.org/entity/Q32196
Jang Keun-suk,https://en.wikipedia.org/wiki/Jang_Keun-suk,actor,http://www.wikidata.org/entity/Q32049
Lita Grey,https://en.wikipedia.org/wiki/Lita_Grey,actor,http://www.wikidata.org/entity/Q32337
Nia Vardalos,https://en.wikipedia.org/wiki/Nia_Vardalos,actor,http://www.wikidata.org/entity/Q32335
Cher,https://en.wikipedia.org/wiki/Cher,actor,http://www.wikidata.org/entity/Q12003
Terry Gilliam,https://en.wikipedia.org/wiki/Terry_Gilliam,actor,http://www.wikidata.org/entity/Q25078
Drake,https://en.wikipedia.org/wiki/Drake_(musician),actor,http://www.wikidata.org/entity/Q33240
Sule,https://en.wikipedia.org/wiki/Sule_(comedian),actor,http://www.wikidata.org/entity/Q33160
Graham Bonney,https://en.wikipedia.org/wiki/Graham_Bonney,actor,http://www.wikidata.org/entity/Q33072
Barry Watson,https://en.wikipedia.org/wiki/Barry_Watson_(actor),actor,http://www.wikidata.org/entity/Q31741
Garou,https://en.wikipedia.org/wiki/Garou_(singer),actor,http://www.wikidata.org/entity/Q31733
Kylie Minogue,https://en.wikipedia.org/wiki/Kylie_Minogue,actor,http://www.wikidata.org/entity/Q11998
Christopher Nolan,https://en.wikipedia.org/wiki/Christopher_Nolan,actor,http://www.wikidata.org/entity/Q25191
Jason Antoon,https://en.wikipedia.org/wiki/Jason_Antoon,actor,http://www.wikidata.org/entity/Q31409
Vladimir Vysotsky,https://en.wikipedia.org/wiki/Vladimir_Vysotsky,actor,http://www.wikidata.org/entity/Q512
Stephen King,https://en.wikipedia.org/wiki/Stephen_King,actor,http://www.wikidata.org/entity/Q39829
Nina Bott,https://en.wikipedia.org/wiki/Nina_Bott,actor,http://www.wikidata.org/entity/Q32223
Liam Hemsworth,https://en.wikipedia.org/wiki/Liam_Hemsworth,actor,http://www.wikidata.org/entity/Q32045
John Cleese,https://en.wikipedia.org/wiki/John_Cleese,actor,http://www.wikidata.org/entity/Q25014
Graham Chapman,https://en.wikipedia.org/wiki/Graham_Chapman,actor,http://www.wikidata.org/entity/Q24962
Mos Def,https://en.wikipedia.org/wiki/Yasiin_Bey,actor,http://www.wikidata.org/entity/Q38875
Carl Barks,https://en.wikipedia.org/wiki/Carl_Barks,actor,http://www.wikidata.org/entity/Q11941
Ellie Goulding,https://en.wikipedia.org/wiki/Ellie_Goulding,actor,http://www.wikidata.org/entity/Q31164
Jack Nicholson,https://en.wikipedia.org/wiki/Jack_Nicholson,actor,http://www.wikidata.org/entity/Q39792
Candice King,https://en.wikipedia.org/wiki/Candice_King,actor,http://www.wikidata.org/entity/Q39574
Adèle Haenel,https://en.wikipedia.org/wiki/Ad%C3%A8le_Haenel,actor,http://www.wikidata.org/entity/Q31353
Maria Bard,https://en.wikipedia.org/wiki/Maria_Bard,actor,http://www.wikidata.org/entity/Q23953
Ethel Grey Terry,https://en.wikipedia.org/wiki/Ethel_Grey_Terry,actor,http://www.wikidata.org/entity/Q23937
Patti LaBelle,https://en.wikipedia.org/wiki/Patti_LaBelle,actor,http://www.wikidata.org/entity/Q31013
Lalaine Vergara-Paras,https://en.wikipedia.org/wiki/Lalaine,actor,http://www.wikidata.org/entity/Q30896
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,actor,http://www.wikidata.org/entity/Q873
Jafar Panahi,https://en.wikipedia.org/wiki/Jafar_Panahi,actor,http://www.wikidata.org/entity/Q31637
Sean Paul Lockhart,https://en.wikipedia.org/wiki/Brent_Corrigan,actor,http://www.wikidata.org/entity/Q31549
John Barrowman,https://en.wikipedia.org/wiki/John_Barrowman,actor,http://www.wikidata.org/entity/Q24632
E. H. Calvert,https://en.wikipedia.org/wiki/E._H._Calvert,actor,http://www.wikidata.org/entity/Q24541
George Clooney,https://en.wikipedia.org/wiki/George_Clooney,actor,http://www.wikidata.org/entity/Q23844
Kevin Costner,https://en.wikipedia.org/wiki/Kevin_Costner,actor,http://www.wikidata.org/entity/Q11930
Penélope Cruz,https://en.wikipedia.org/wiki/Pen%C3%A9lope_Cruz,actor,http://www.wikidata.org/entity/Q39666
Brenda Strong,https://en.wikipedia.org/wiki/Brenda_Strong,actor,http://www.wikidata.org/entity/Q31970
Bahman Ghobadi,https://en.wikipedia.org/wiki/Bahman_Ghobadi,actor,http://www.wikidata.org/entity/Q31923
Sadao Abe,https://en.wikipedia.org/wiki/Sadao_Abe,actor,http://www.wikidata.org/entity/Q31768
Barbara Palvin,https://en.wikipedia.org/wiki/Barbara_Palvin,actor,http://www.wikidata.org/entity/Q24368
Stephen Merchant,https://en.wikipedia.org/wiki/Stephen_Merchant,actor,http://www.wikidata.org/entity/Q23814
Karl Pilkington,https://en.wikipedia.org/wiki/Karl_Pilkington,actor,http://www.wikidata.org/entity/Q23811
Kevin S. Bright,https://en.wikipedia.org/wiki/Kevin_S._Bright,actor,http://www.wikidata.org/entity/Q30893
Bailey Jay,https://en.wikipedia.org/wiki/Bailey_Jay,actor,http://www.wikidata.org/entity/Q30585
Emma Watson,https://en.wikipedia.org/wiki/Emma_Watson,actor,http://www.wikidata.org/entity/Q39476
Allene Ray,https://en.wikipedia.org/wiki/Allene_Ray,actor,http://www.wikidata.org/entity/Q39419
Halina Mlynkova,https://en.wikipedia.org/wiki/Halina_Mlynkova,actor,http://www.wikidata.org/entity/Q38983
David Beckham,https://en.wikipedia.org/wiki/David_Beckham,actor,http://www.wikidata.org/entity/Q10520
Andrei Tarkovsky,https://en.wikipedia.org/wiki/Andrei_Tarkovsky,actor,http://www.wikidata.org/entity/Q853
Eden Sher,https://en.wikipedia.org/wiki/Eden_Sher,actor,http://www.wikidata.org/entity/Q24304
La Jana,https://en.wikipedia.org/wiki/La_Jana_(actress),actor,http://www.wikidata.org/entity/Q24078
Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan,actor,http://www.wikidata.org/entity/Q9960
Jean-Claude Killy,https://en.wikipedia.org/wiki/Jean-Claude_Killy,actor,http://www.wikidata.org/entity/Q11485
Shawn Michaels,https://en.wikipedia.org/wiki/Shawn_Michaels,actor,http://www.wikidata.org/entity/Q31317
María Dolores Pradera,https://en.wikipedia.org/wiki/Mar%C3%ADa_Dolores_Pradera,actor,http://www.wikidata.org/entity/Q30510
Warner Oland,https://en.wikipedia.org/wiki/Warner_Oland,actor,http://www.wikidata.org/entity/Q23957
Amitabh Bachchan,https://en.wikipedia.org/wiki/Amitabh_Bachchan,actor,http://www.wikidata.org/entity/Q9570
Jenna Jameson,https://en.wikipedia.org/wiki/Jenna_Jameson,actor,http://www.wikidata.org/entity/Q400
Vondie Curtis-Hall,https://en.wikipedia.org/wiki/Vondie_Curtis-Hall,actor,http://www.wikidata.org/entity/Q31293
Orson Welles,https://en.wikipedia.org/wiki/Orson_Welles,actor,http://www.wikidata.org/entity/Q24829
Mick Foley,https://en.wikipedia.org/wiki/Mick_Foley,actor,http://www.wikidata.org/entity/Q10731
Judy Garland,https://en.wikipedia.org/wiki/Judy_Garland,actor,http://www.wikidata.org/entity/Q11637
Dallas Roberts,https://en.wikipedia.org/wiki/Dallas_Roberts,actor,http://www.wikidata.org/entity/Q24057
Gloria Dickson,https://en.wikipedia.org/wiki/Gloria_Dickson,actor,http://www.wikidata.org/entity/Q24051
Tara Conner,https://en.wikipedia.org/wiki/Tara_Conner,actor,http://www.wikidata.org/entity/Q23997
Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher,actor,http://www.wikidata.org/entity/Q489
Aaliyah,https://en.wikipedia.org/wiki/Aaliyah,actor,http://www.wikidata.org/entity/Q11617
Mikhail Bulgakov,https://en.wikipedia.org/wiki/Mikhail_Bulgakov,actor,http://www.wikidata.org/entity/Q835
Coco Austin,https://en.wikipedia.org/wiki/Coco_Austin,actor,http://www.wikidata.org/entity/Q814
Shah Rukh Khan,https://en.wikipedia.org/wiki/Shah_Rukh_Khan,actor,http://www.wikidata.org/entity/Q9535
Dario Fo,https://en.wikipedia.org/wiki/Dario_Fo,actor,http://www.wikidata.org/entity/Q765
Bob Dylan,https://en.wikipedia.org/wiki/Bob_Dylan,actor,http://www.wikidata.org/entity/Q392
Marion Cotillard,https://en.wikipedia.org/wiki/Marion_Cotillard,actor,http://www.wikidata.org/entity/Q8927
Neil Young,https://en.wikipedia.org/wiki/Neil_Young,actor,http://www.wikidata.org/entity/Q633
Steven Spielberg,https://en.wikipedia.org/wiki/Steven_Spielberg,actor,http://www.wikidata.org/entity/Q8877
Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,actor,http://www.wikidata.org/entity/Q23891
Maria Kulle,https://en.wikipedia.org/wiki/Maria_Kulle,actor,http://www.wikidata.org/entity/Q39805
Serena Williams,https://en.wikipedia.org/wiki/Serena_Williams,actor,http://www.wikidata.org/entity/Q11459
Avril Lavigne,https://en.wikipedia.org/wiki/Avril_Lavigne,actor,http://www.wikidata.org/entity/Q30449
Dwayne Johnson,https://en.wikipedia.org/wiki/Dwayne_Johnson,actor,http://www.wikidata.org/entity/Q10738
Louis King,https://en.wikipedia.org/wiki/Louis_King,actor,http://www.wikidata.org/entity/Q11322
Michael Bloomberg,https://en.wikipedia.org/wiki/Michael_Bloomberg,actor,http://www.wikidata.org/entity/Q607
Brigitte Fontaine,https://en.wikipedia.org/wiki/Brigitte_Fontaine,actor,http://www.wikidata.org/entity/Q563
Louis XIV of France,https://en.wikipedia.org/wiki/Louis_XIV,actor,http://www.wikidata.org/entity/Q7742
Bud Abbott,https://en.wikipedia.org/wiki/Bud_Abbott,actor,http://www.wikidata.org/entity/Q23888
Lila Downsgil,https://en.wikipedia.org/wiki/Lila_Downs,actor,http://www.wikidata.org/entity/Q23880
"""Weird Al"" Yankovic",https://en.wikipedia.org/wiki/%22Weird_Al%22_Yankovic,actor,http://www.wikidata.org/entity/Q8349
Walt Disney,https://en.wikipedia.org/wiki/Walt_Disney,actor,http://www.wikidata.org/entity/Q8704
Boris Vian,https://en.wikipedia.org/wiki/Boris_Vian,actor,http://www.wikidata.org/entity/Q7833
Nicholas Meyer,https://en.wikipedia.org/wiki/Nicholas_Meyer,actor,http://www.wikidata.org/entity/Q8312
Jamie Selkirk,https://en.wikipedia.org/wiki/Jamie_Selkirk,actor,http://www.wikidata.org/entity/Q8289
Carly Rose Sonenclar,https://en.wikipedia.org/wiki/Carly_Rose_Sonenclar,actor,http://www.wikidata.org/entity/Q8160
Sigfrid Edström,https://en.wikipedia.org/wiki/Sigfrid_Edstr%C3%B6m,engineer,http://www.wikidata.org/entity/Q1625
Walter Rethel,https://en.wikipedia.org/wiki/Walter_Rethel,engineer,http://www.wikidata.org/entity/Q68686
Novalis,https://en.wikipedia.org/wiki/Novalis,engineer,http://www.wikidata.org/entity/Q60684
Paul Dirac,https://en.wikipedia.org/wiki/Paul_Dirac,engineer,http://www.wikidata.org/entity/Q47480
Paul Haenlein,https://en.wikipedia.org/wiki/Paul_Haenlein,engineer,http://www.wikidata.org/entity/Q67710
Heinz Nixdorf,https://en.wikipedia.org/wiki/Heinz_Nixdorf,engineer,http://www.wikidata.org/entity/Q67464
Emil Winkler,https://en.wikipedia.org/wiki/Emil_Winkler,engineer,http://www.wikidata.org/entity/Q67247
Jörg Zander,https://en.wikipedia.org/wiki/J%C3%B6rg_Zander,engineer,http://www.wikidata.org/entity/Q66954
Henri Farman,https://en.wikipedia.org/wiki/Henri_Farman,engineer,http://www.wikidata.org/entity/Q22401
Charles Lindbergh,https://en.wikipedia.org/wiki/Charles_Lindbergh,engineer,http://www.wikidata.org/entity/Q1618
Kurt Ahrens,https://en.wikipedia.org/wiki/Kurt_Ahrens_Jr.,engineer,http://www.wikidata.org/entity/Q60395
Walter H. Schottky,https://en.wikipedia.org/wiki/Walter_H._Schottky,engineer,http://www.wikidata.org/entity/Q60347
Baburam Bhattarai,https://en.wikipedia.org/wiki/Baburam_Bhattarai,engineer,http://www.wikidata.org/entity/Q57816
Hesham Qandil,https://en.wikipedia.org/wiki/Hesham_Qandil,engineer,http://www.wikidata.org/entity/Q57728
Valentina Tereshkova,https://en.wikipedia.org/wiki/Valentina_Tereshkova,engineer,http://www.wikidata.org/entity/Q44371
Hermann Friedrich Graebe,https://en.wikipedia.org/wiki/Hermann_Friedrich_Graebe,engineer,http://www.wikidata.org/entity/Q70117
Hermann Kemper,https://en.wikipedia.org/wiki/Hermann_Kemper,engineer,http://www.wikidata.org/entity/Q69994
Bodo von Borries,https://en.wikipedia.org/wiki/Bodo_von_Borries,engineer,http://www.wikidata.org/entity/Q69894
Georg Friedrich von Reichenbach,https://en.wikipedia.org/wiki/Georg_Friedrich_von_Reichenbach,engineer,http://www.wikidata.org/entity/Q69736
Patrick Volkerding,https://en.wikipedia.org/wiki/Patrick_Volkerding,engineer,http://www.wikidata.org/entity/Q44808
Benjamin Thompson,https://en.wikipedia.org/wiki/Benjamin_Thompson,engineer,http://www.wikidata.org/entity/Q44645
