:START_ID,:END_ID,:TYPE,score:double
81372,78539,SIMILAR_HASHGNN,1.0
81372,78553,SIMILAR_HASHGNN,1.0
81372,78556,SIMILAR_HASHGNN,1.0
81372,78564,SIMILAR_HASHGNN,1.0
81372,78567,SIMILAR_HASHGNN,1.0
81372,78572,SIMILAR_HASHGNN,1.0
81372,78589,SIMILAR_HASHGNN,1.0
81372,78593,SIMILAR_HASHGNN,1.0
81372,78599,SIMILAR_HASHGNN,1.0
81372,78604,SIMILAR_HASHGNN,1.0
81373,78524,SIMILAR_HASHGNN,1.0
81373,78534,SIMILAR_HASHGNN,1.0
81373,78538,SIMILAR_HASHGNN,1.0
81373,78546,SIMILAR_HASHGNN,1.0
81373,78551,SIMILAR_HASHGNN,1.0
81373,78568,SIMILAR_HASHGNN,1.0
81373,78579,SIMILAR_HASHGNN,1.0
81373,78585,SIMILAR_HASHGNN,1.0
81373,78590,SIMILAR_HASHGNN,1.0
81373,78600,SIMILAR_HASHGNN,1.0
81374,78514,SIMILAR_HASHGNN,0.9472135954999579
81374,78525,SIMILAR_HASHGNN,1.0
81374,78526,SIMILAR_HASHGNN,0.9
81374,78544,SIMILAR_HASHGNN,0.9
81374,78547,SIMILAR_HASHGNN,0.9472135954999579
81374,78571,SIMILAR_HASHGNN,0.9472135954999579
81374,78578,SIMILAR_HASHGNN,0.9
81374,78583,SIMILAR_HASHGNN,0.9
81374,78591,SIMILAR_HASHGNN,0.9472135954999579
81374,78592,SIMILAR_HASHGNN,1.0
81375,78515,SIMILAR_HASHGNN,1.0
81375,78533,SIMILAR_HASHGNN,1.0
81375,78555,SIMILAR_HASHGNN,1.0
81375,78559,SIMILAR_HASHGNN,1.0
81375,78561,SIMILAR_HASHGNN,1.0
81375,78566,SIMILAR_HASHGNN,1.0
81375,78576,SIMILAR_HASHGNN,1.0
81375,78581,SIMILAR_HASHGNN,1.0
81375,78588,SIMILAR_HASHGNN,1.0
81375,78596,SIMILAR_HASHGNN,1.0
