:START_ID,:END_ID,:TYPE,rank:long,score:double,weight:long
300,5313,CONTAINS,1,0.48298946,50
300,5314,CONTAINS,2,0.3663843,49
300,5315,CONTAINS,3,0.010195739,48
300,5316,CONTAINS,4,0.007282734,47
300,5317,CONTAINS,5,0.006582667,46
300,5318,CONTAINS,6,0.006405151,45
300,5319,CONTAINS,7,0.004819333,44
300,5320,CONTAINS,8,0.0039385455,43
300,5321,CONTAINS,10,0.0036147276,41
300,5322,CONTAINS,11,0.0034836372,40
300,5323,CONTAINS,12,0.0025751607,39
300,5324,CONTAINS,13,0.0025192313,38
300,5325,CONTAINS,14,0.0025077413,37
300,5326,CONTAINS,15,0.0024394675,36
300,5327,CONTAINS,16,0.0023178048,35
300,5328,CONTAINS,17,0.0023178048,34
300,5329,CONTAINS,18,0.0023071792,33
300,5330,CONTAINS,19,0.0022561671,32
300,5331,CONTAINS,20,0.002221499,31
300,5332,CONTAINS,21,0.0020362947,30
300,5333,CONTAINS,22,0.0020362947,29
300,5334,CONTAINS,23,0.0020261765,28
300,5335,CONTAINS,24,0.002019028,27
300,5336,CONTAINS,25,0.002019028,26
300,5337,CONTAINS,26,0.002019028,25
300,5338,CONTAINS,27,0.0019408586,24
300,5339,CONTAINS,28,0.0019010355,23
300,5340,CONTAINS,29,0.0018618194,22
300,5341,CONTAINS,30,0.0018367014,21
300,5342,CONTAINS,32,0.0017078377,19
300,5343,CONTAINS,33,0.0016731446,18
300,5344,CONTAINS,34,0.0015690201,17
300,5345,CONTAINS,35,0.0015505864,16
300,5346,CONTAINS,36,0.0013592114,15
300,5347,CONTAINS,38,0.0012041668,13
300,5348,CONTAINS,40,0.0011352749,11
300,5349,CONTAINS,41,0.0010242355,10
300,5350,CONTAINS,44,0.0010140454,7
300,5351,CONTAINS,45,9.007855E-4,6
300,5352,CONTAINS,46,8.657698E-4,5
300,5353,CONTAINS,47,8.0147106E-4,4
300,5354,CONTAINS,49,7.6331804E-4,2
300,5355,CONTAINS,50,7.6214917E-4,1
301,5356,CONTAINS,1,0.7505492,50
301,5357,CONTAINS,2,0.0258324,49
301,5358,CONTAINS,3,0.01732785,48
301,5359,CONTAINS,4,0.014438018,47
301,5360,CONTAINS,5,0.011573438,46
301,5361,CONTAINS,6,0.0064900923,45
301,5362,CONTAINS,7,0.0064900923,44
301,5363,CONTAINS,8,0.006203339,43
301,5364,CONTAINS,9,0.00592335,42
301,5365,CONTAINS,10,0.00592335,41
301,5366,CONTAINS,11,0.00592335,40
301,5367,CONTAINS,12,0.00592335,39
301,5368,CONTAINS,13,0.00572252,38
301,5369,CONTAINS,14,0.005207007,37
301,5370,CONTAINS,15,0.005207007,36
301,5371,CONTAINS,16,0.005207007,35
301,5372,CONTAINS,17,0.005207007,34
301,5373,CONTAINS,18,0.005150534,33
301,5374,CONTAINS,19,0.005058353,32
301,5375,CONTAINS,20,0.004116589,31
301,5376,CONTAINS,21,0.003358795,30
301,5377,CONTAINS,23,0.0031333452,28
301,5378,CONTAINS,24,0.003084572,27
301,5379,CONTAINS,25,0.003084572,26
301,5380,CONTAINS,26,0.003084572,25
301,5381,CONTAINS,27,0.0028065175,24
301,5382,CONTAINS,28,0.0024201698,23
301,5383,CONTAINS,29,0.00224947,22
301,5384,CONTAINS,30,0.0021393076,21
301,5385,CONTAINS,31,0.0020497313,20
301,5386,CONTAINS,32,0.0016479342,19
301,5387,CONTAINS,33,0.0016151814,18
301,5388,CONTAINS,34,0.0016020716,17
301,5389,CONTAINS,35,0.0014585623,16
301,5390,CONTAINS,36,0.001421195,15
301,5391,CONTAINS,37,0.0013479536,14
301,5392,CONTAINS,38,0.0013365138,13
301,5393,CONTAINS,39,0.0013304088,12
301,5394,CONTAINS,40,0.0013073853,11
301,5395,CONTAINS,41,0.0013059872,10
301,5396,CONTAINS,42,0.0012608339,9
301,5397,CONTAINS,43,0.0011781685,8
301,5398,CONTAINS,44,0.0011781685,7
301,5332,CONTAINS,45,0.0011760963,6
301,5399,CONTAINS,46,0.001110131,5
301,5400,CONTAINS,47,0.001067449,4
301,5401,CONTAINS,49,0.0010288932,2
301,5402,CONTAINS,50,9.494248E-4,1
302,5403,CONTAINS,1,0.8009907,50
302,5404,CONTAINS,2,0.017803006,49
302,5405,CONTAINS,3,0.008464105,48
302,5406,CONTAINS,4,0.00546608,47
302,5407,CONTAINS,5,0.005173189,46
302,5408,CONTAINS,6,0.0045066667,45
302,5409,CONTAINS,7,0.003960374,44
302,5410,CONTAINS,8,0.0036132522,43
302,5411,CONTAINS,9,0.0036132522,42
302,5412,CONTAINS,10,0.0032729325,41
302,5413,CONTAINS,11,0.0027672725,40
302,5414,CONTAINS,12,0.0026289236,39
302,5415,CONTAINS,13,0.0026289236,38
302,5362,CONTAINS,14,0.002166228,37
302,5416,CONTAINS,15,0.00213813,36
302,5417,CONTAINS,16,0.0021380528,35
302,5418,CONTAINS,17,0.0020436516,34
302,5363,CONTAINS,18,0.0019734383,33
302,5419,CONTAINS,19,0.0019030084,32
302,5420,CONTAINS,20,0.0018782495,31
302,5421,CONTAINS,22,0.0017272154,29
302,5422,CONTAINS,23,0.001707634,28
302,5423,CONTAINS,24,0.0017059816,27
302,5424,CONTAINS,25,0.0016766564,26
302,5425,CONTAINS,26,0.0016349978,25
302,5426,CONTAINS,27,0.0016316882,24
302,5427,CONTAINS,28,0.0015495984,23
302,5428,CONTAINS,29,0.001528967,22
302,5429,CONTAINS,30,0.0015248295,21
302,5430,CONTAINS,31,0.0015248295,20
302,5431,CONTAINS,32,0.0015248295,19
302,5432,CONTAINS,33,0.0015172461,18
302,5433,CONTAINS,34,0.0015118885,17
302,5434,CONTAINS,35,0.0015118885,16
302,5435,CONTAINS,36,0.0014639712,15
302,5436,CONTAINS,37,0.0014286062,14
