id,url,occupation,wikiid
Paul Schmidt,https://en.wikipedia.org/wiki/Paul_Schmidt_(interpreter),politician,http://www.wikidata.org/entity/Q63725
San Yu,https://en.wikipedia.org/wiki/San_Yu,politician,http://www.wikidata.org/entity/Q63697
Mieszko II,https://en.wikipedia.org/wiki/Mieszko_II_Lambert,politician,http://www.wikidata.org/entity/Q28468
Harivansh Rai Bachchan,https://en.wikipedia.org/wiki/Harivansh_Rai_Bachchan,politician,http://www.wikidata.org/entity/Q9575
Kathleen Sebelius,https://en.wikipedia.org/wiki/Kathleen_Sebelius,politician,http://www.wikidata.org/entity/Q27677
Paul Pleiger,https://en.wikipedia.org/wiki/Paul_Pleiger,politician,http://www.wikidata.org/entity/Q96134
Bernd Heynemann,https://en.wikipedia.org/wiki/Bernd_Heynemann,politician,http://www.wikidata.org/entity/Q63890
Hashim al-Atassi,https://en.wikipedia.org/wiki/Hashim_al-Atassi,politician,http://www.wikidata.org/entity/Q59930
Ernst von Pfuel,https://en.wikipedia.org/wiki/Ernst_von_Pfuel,politician,http://www.wikidata.org/entity/Q64037
Jutta Rüdiger,https://en.wikipedia.org/wiki/Jutta_R%C3%BCdiger,politician,http://www.wikidata.org/entity/Q64005
Anton Hubert Fischer,https://en.wikipedia.org/wiki/Anton_Hubert_Fischer,politician,http://www.wikidata.org/entity/Q63988
Louis Antoine de Saint-Just,https://en.wikipedia.org/wiki/Louis_Antoine_de_Saint-Just,politician,http://www.wikidata.org/entity/Q27764
Herbert von Bismarck,https://en.wikipedia.org/wiki/Herbert_von_Bismarck,politician,http://www.wikidata.org/entity/Q59904
Matías Ramón Mella Castillo,https://en.wikipedia.org/wiki/Mat%C3%ADas_Ram%C3%B3n_Mella,politician,http://www.wikidata.org/entity/Q59885
Albert Speer,https://en.wikipedia.org/wiki/Albert_Speer,politician,http://www.wikidata.org/entity/Q60045
Karin Evers-Meyer,https://en.wikipedia.org/wiki/Karin_Evers-Meyer,politician,http://www.wikidata.org/entity/Q96198
Karl von Weishaupt,https://en.wikipedia.org/wiki/Karl_von_Weishaupt,politician,http://www.wikidata.org/entity/Q96183
Otto Christian Archibald von Bismarck,https://en.wikipedia.org/wiki/Otto_Christian_Archibald_von_Bismarck,politician,http://www.wikidata.org/entity/Q59872
Tekle Giyorgis II,https://en.wikipedia.org/wiki/Tekle_Giyorgis_II,politician,http://www.wikidata.org/entity/Q59761
Erich Koch-Weser,https://en.wikipedia.org/wiki/Erich_Koch-Weser,politician,http://www.wikidata.org/entity/Q59739
Dominique Perben,https://en.wikipedia.org/wiki/Dominique_Perben,politician,http://www.wikidata.org/entity/Q63618
"Ernst II, Prince of Hohenlohe-Langenburg","https://en.wikipedia.org/wiki/Ernst_II,_Prince_of_Hohenlohe-Langenburg",politician,http://www.wikidata.org/entity/Q63609
Dietrich Eckart,https://en.wikipedia.org/wiki/Dietrich_Eckart,politician,http://www.wikidata.org/entity/Q60259
Erhard Heiden,https://en.wikipedia.org/wiki/Erhard_Heiden,politician,http://www.wikidata.org/entity/Q60222
Johann Gustav Droysen,https://en.wikipedia.org/wiki/Johann_Gustav_Droysen,politician,http://www.wikidata.org/entity/Q60217
Heinrich Beitzke,https://en.wikipedia.org/wiki/Heinrich_Beitzke,politician,http://www.wikidata.org/entity/Q95973
John Tsang,https://en.wikipedia.org/wiki/John_Tsang,politician,http://www.wikidata.org/entity/Q19225
Henry Tang,https://en.wikipedia.org/wiki/Henry_Tang,politician,http://www.wikidata.org/entity/Q19220
John Maynard Keynes,https://en.wikipedia.org/wiki/John_Maynard_Keynes,politician,http://www.wikidata.org/entity/Q9317
Bars Bolud Jinong,https://en.wikipedia.org/wiki/Bars_Bolud_Jinong,politician,http://www.wikidata.org/entity/Q9308
Franz Konwitschny,https://en.wikipedia.org/wiki/Franz_Konwitschny,politician,http://www.wikidata.org/entity/Q63454
Ursula Wyss,https://en.wikipedia.org/wiki/Ursula_Wyss,politician,http://www.wikidata.org/entity/Q63453
Joachim Mrugowsky,https://en.wikipedia.org/wiki/Joachim_Mrugowsky,politician,http://www.wikidata.org/entity/Q63441
Oscar Troplowitz,https://en.wikipedia.org/wiki/Oscar_Troplowitz,politician,http://www.wikidata.org/entity/Q63505
Adolf Stoecker,https://en.wikipedia.org/wiki/Adolf_Stoecker,politician,http://www.wikidata.org/entity/Q63479
"Bruno, 3rd Prince of Ysenburg and Büdingen","https://en.wikipedia.org/wiki/Bruno,_Prince_of_Ysenburg_and_B%C3%BCdingen",politician,http://www.wikidata.org/entity/Q95811
Friedrich von Schrötter,https://en.wikipedia.org/wiki/Friedrich_von_Schr%C3%B6tter,politician,http://www.wikidata.org/entity/Q95783
Ludwig Giesebrecht,https://en.wikipedia.org/wiki/Ludwig_Giesebrecht,politician,http://www.wikidata.org/entity/Q95777
Max Brauer,https://en.wikipedia.org/wiki/Max_Brauer,politician,http://www.wikidata.org/entity/Q63421
