:START_ID,:END_ID,:TYPE,rank:long,score:double,weight:long
74462,74562,CONTAINS,1,0.6830814,50
74462,74563,CONTAINS,2,0.14069892,49
74462,74564,CONTAINS,3,0.016139153,48
74462,74565,CONTAINS,4,0.008685728,47
74462,74566,CONTAINS,5,0.0061089536,46
74462,74567,CONTAINS,6,0.0057948716,45
74462,74568,CONTAINS,7,0.0039053208,44
74462,74569,CONTAINS,8,0.0035720114,43
74462,74570,CONTAINS,10,0.0026794395,41
74462,74571,CONTAINS,11,0.0024190187,40
74462,74572,CONTAINS,12,0.002289542,39
74462,74573,CONTAINS,13,0.0019412489,38
74462,74574,CONTAINS,14,0.0018839939,37
74462,74575,CONTAINS,15,0.0018064423,36
74462,74576,CONTAINS,16,0.0017841663,35
74462,74577,CONTAINS,17,0.0016632327,34
74462,74578,CONTAINS,19,0.0015556635,32
74462,74579,CONTAINS,20,0.0012717367,31
74462,74580,CONTAINS,21,0.0012310434,30
74462,74581,CONTAINS,23,0.0010598878,28
74462,74582,CONTAINS,24,0.0010414122,27
74462,74583,CONTAINS,25,0.0010348897,26
74462,74584,CONTAINS,27,0.0010074431,24
74462,74585,CONTAINS,28,0.0010074431,23
74462,74586,CONTAINS,29,9.987298E-4,22
74462,74587,CONTAINS,30,9.981624E-4,21
74462,74588,CONTAINS,32,9.529096E-4,19
74462,74589,CONTAINS,34,9.319321E-4,17
74462,74590,CONTAINS,36,9.1041275E-4,15
74462,74591,CONTAINS,37,9.0988877E-4,14
74462,74592,CONTAINS,38,8.4115897E-4,13
74462,74593,CONTAINS,39,8.099645E-4,12
74462,74594,CONTAINS,40,7.986388E-4,11
74462,74595,CONTAINS,42,7.6719176E-4,9
74462,74596,CONTAINS,43,7.58396E-4,8
74462,74597,CONTAINS,44,7.466054E-4,7
74462,74598,CONTAINS,45,7.342914E-4,6
74462,74599,CONTAINS,47,7.2960596E-4,4
74462,74600,CONTAINS,48,7.0577575E-4,3
74462,74601,CONTAINS,50,7.005311E-4,1
74463,74602,CONTAINS,1,0.7732642,50
74463,74603,CONTAINS,2,0.0051375125,49
74463,74604,CONTAINS,3,0.004391357,48
74463,74605,CONTAINS,4,0.0040698396,47
74463,74606,CONTAINS,5,0.00380934,46
74463,74565,CONTAINS,6,0.003565376,45
74463,74607,CONTAINS,7,0.0031732884,44
74463,74608,CONTAINS,8,0.002867587,43
74463,74577,CONTAINS,9,0.002717049,42
74463,74609,CONTAINS,10,0.0027035594,41
74463,74610,CONTAINS,11,0.0026335677,40
74463,74611,CONTAINS,12,0.002624538,39
74463,74612,CONTAINS,13,0.0021255508,38
74463,74613,CONTAINS,16,0.0019659763,35
74463,74614,CONTAINS,18,0.0019401475,33
74463,74569,CONTAINS,19,0.001932772,32
74463,74615,CONTAINS,20,0.0019286833,31
74463,74616,CONTAINS,21,0.0019231664,30
74463,74617,CONTAINS,22,0.0018253266,29
74463,74618,CONTAINS,23,0.0017498713,28
74463,74619,CONTAINS,24,0.001729161,27
74463,74620,CONTAINS,25,0.0017099316,26
74463,74578,CONTAINS,26,0.0017046559,25
74463,74621,CONTAINS,27,0.0016901946,24
74463,74588,CONTAINS,29,0.001681792,22
74463,74622,CONTAINS,30,0.0016796154,21
74463,74623,CONTAINS,32,0.0016146349,19
